Class		Comments	BComments	NumOfLines	WhileCount	ForCount	IfCondCount	BracketCount	AllSpaces	CSS	Assignment	AssignOpp	Equality	EqualityOpp	OpenParenL	OpenParenR	OpenParenOpp	CloseParenL	CloseParenR	CloseParenOpp
Person2		53		0		343		0		9		5		0		0		45		144		144		41		132		3		0		14		0		7		14
Person2		81		0		350		1		11		4		0		0		62		94		102		37		170		5		2		16		1		7		16
Person2		72		0		465		2		13		22		0		0		60		159		214		152		386		6		2		37		2		13		37
Person2		52		0		362		0		6		6		0		0		36		77		106		41		140		4		0		12		0		5		12
Person2		62		0		335		1		9		8		0		0		41		98		112		29		106		3		0		18		0		2		18
	
Person3		45		9		194		1		0		1		0		0		7		16		16		48		74		0		0		2		0		2		2
Person3		60		9		243		0		6		15		0		0		143		52		52		91		152		0		1		24		1		22		24
Person3		62		9		310		0		0		2		0		0		10		70		70		196		288		0		2		4		2		4		4
Person3		31		6		159		0		1		1		0		0		10		48		48		29		60		2		1		3		1		3		3
	
Person4		16		15		345		0		8		6		0		0		222		70		70		588		1148		13		0		15		0		14		15
Person4		61		50		734		0		8		11		0		0		145		158		158		1966		4064		19		0		29		0		22		29
Person4		117		53		1051		1		14		32		0		0		382		300		300		2020		4168		47		0		71		0		63		71
Person4		94		34		874		7		25		17		0		0		324		357		358		1428		2812		46		3		58		0		51		58
Person4		16		22		313		0		0		4		0		0		28		44		44		906		1816		7		0		15		0		9		15

Person6		134		39		870		0		8		14		67		0		96		126		126		382		706		19		0		25		0		24		25
Person6		190		73		1435		8		23		34		163		0		322		236		236		494		780		41		0		95		0		75		95
Person6		46		21		390		2		5		7		46		0		63		42		42		246		546		14		0		21		0		14		21
Person6		109		58		1107		3		19		27		104		0		245		170		170		423		780		34		0		69		0		54		69
Person6		49		72		1515		2		3		50		188		0		155		120		120		682		1184		39		0		99		1		64		99
	
Person7		40		4		419		5		5		26		55		0		61		68		76		36		132		12		0		63		0		36		63
Person7		4		11		309		0		4		13		56		0		35		42		42		69		154		11		0		39		0		20		39
Person7		22		7		836		0		10		17		96		0		98		184		190		119		326		6		0		35		0		29		35
Person7		12		4		175		1		0		12		32		0		14		22		22		35		78		8		0		25		0		13		25
Person7		33		8		230		0		1		6		17		0		15		22		22		23		44		4		0		13		0		9		13
	
